time,S1,S2,S3,S4,S5,S6
0.0000, 9.9639,0.0245,0.2788,0.6869,0.2543,0.8066
0.1379, 10.1430,1.1243,1.1493,0.7275,0.2183,1.3300
0.2759, 6.9845,2.4260,0.6174,0.9473,0.2214,0.1860
0.4138, 7.3271,2.4685,1.7287,0.1039,0.5660,1.1456
0.5517, 7.0252,1.8382,0.9091,0.4570,0.3135,0.9807
0.6897, 6.0840,2.7645,1.6500,0.3831,0.6469,0.5328
0.8276, 3.8228,3.3404,1.2123,1.7698,1.5003,1.0749
0.9655, 4.6108,1.7214,1.6500,1.0085,0.1968,1.7338
1.1034, 3.5587,1.8193,1.2961,1.2860,0.2940,1.6741
1.2414, 2.6042,2.4365,2.5273,2.5676,0.6165,0.7777
1.3793, 2.6670,1.2691,2.0335,2.2550,0.8024,2.8139
1.5172, 1.2771,1.3716,0.7828,0.9520,1.0949,2.5456
1.6552, 2.7374,1.8548,0.7135,0.6904,0.3783,4.0125
1.7931, 1.3202,0.6774,2.8310,1.9432,0.7798,5.0623
1.9310, 1.7973,0.8914,2.6131,1.0384,0.5163,3.3272
2.0690, 1.2621,0.0490,0.7817,1.4685,0.2633,4.7720
2.2069, 1.4960,0.6051,0.4027,0.5714,0.9231,6.4554
2.3448, 0.3916,0.8890,0.5679,0.0944,0.5756,5.9069
2.4828, 0.4466,1.5423,0.2392,0.9633,0.0434,6.3855
2.6207, 0.0273,0.7030,0.0020,0.6078,1.1588,7.2407
2.7586, 0.9890,1.0280,0.0409,0.5468,0.7311,7.6404
2.8966, 2.1638,0.5444,0.5541,0.0324,0.0137,6.3463
3.0345, 0.8864,1.6733,0.4924,1.1280,1.1735,7.2299
3.1724, 0.8462,1.1937,0.2872,0.5248,0.4158,8.8292
3.3103, 1.6112,0.7011,0.1874,0.8528,0.8129,8.5238
3.4483, 0.5661,1.1796,0.7372,1.2530,0.8989,7.8576
3.5862, 0.8420,1.8484,0.0553,1.5466,1.1462,8.4592
3.7241, 1.2170,0.7352,0.3716,1.4712,0.1689,9.2686
3.8621, 0.7234,0.7427,0.2593,0.9199,0.8576,9.9198
4.0000, 0.5486,0.3628,1.1886,0.1356,0.9790,8.7787
